wl	p
4.152823920265781	1.3578998304029724
4.151100041511	1.3521891983816032
4.149377593360995	1.3618371221684307
4.14765657403567	1.3855586528821988
4.1459369817578775	1.310510356194425
4.144218814753419	1.3073523594887535
4.142502071251036	1.3440945529970447
4.140786749482401	1.3152040367202635
4.139072847682119	1.3177424006410714
4.137360364087712	1.3405651385372555
4.1356492969396195	1.3412343061223964
4.133939644481191	1.3708555181221884
4.132231404958677	1.345571797330207
4.130524576621231	1.3621824742978939
4.1288191577208915	1.3317721813393
4.127115146512588	1.3207415527907405
4.125412541254125	1.3242303230438413
4.123711340206185	1.316368829114281
4.122011541632316	1.3261068594974914
4.120313143798929	1.3289629449528075
4.118616144975288	1.3178108753124722
4.116920543433512	1.3256520006118253
4.11522633744856	1.3313476862793627
4.113533525298231	1.324649151918034
4.1118421052631575	1.3686453880673508
4.1101520756267975	1.3168976901125948
4.108463434675431	1.330103958618722
4.1067761806981515	1.3489518229723545
4.105090311986864	1.32722901933735
4.1034058268362745	1.316388687331089
4.1017227235438884	1.3259296232566022
4.100041000410004	1.322600625704465
4.098360655737705	1.3426557989299786
4.096681687832855	1.3115193834768186
4.095004095004095	1.3210159144311115
4.093327875562832	1.358071668673005
4.091653027823241	1.3287600231014223
4.089979550102249	1.3416303818184563
