#   Wavelength        (Rp/Rs)**2
#           um          unitless
     4.4072279   1.286051680e-02
     4.4052863   1.284384874e-02
     4.4033465   1.292740757e-02
     4.4014085   1.293732804e-02
     4.3994721   1.289037565e-02
     4.3975374   1.286836563e-02
     4.3956044   1.289033474e-02
     4.3936731   1.290482594e-02
     4.3917435   1.285378351e-02
     4.3898156   1.290742931e-02
     4.3878894   1.291131331e-02
     4.3859649   1.287377756e-02
     4.3840421   1.286616364e-02
     4.3821209   1.291853590e-02
     4.3802015   1.288379818e-02
     4.3782837   1.290265716e-02
     4.3763676   1.286529211e-02
     4.3744532   1.286283705e-02
     4.3725404   1.288080078e-02
     4.3706294   1.288372394e-02
     4.3687200   1.283824877e-02
     4.3668122   1.292225865e-02
     4.3649062   1.292347081e-02
     4.3630017   1.284978563e-02
     4.3610990   1.287994648e-02
     4.3591979   1.284216786e-02
     4.3572985   1.286796902e-02
     4.3554007   1.290732268e-02
     4.3535046   1.288646671e-02
     4.3516101   1.285039910e-02
     4.3497173   1.291709645e-02
     4.3478261   1.285782063e-02
     4.3459365   1.293754646e-02
     4.3440487   1.292033265e-02
     4.3421624   1.286424646e-02
     4.3402778   1.286445513e-02
     4.3383948   1.290553254e-02
     4.3365134   1.284303782e-02
     4.3346337   1.291351616e-02
     4.3327556   1.285923897e-02
     4.3308792   1.286854049e-02
     4.3290043   1.293958629e-02
     4.3271311   1.288678777e-02
     4.3252595   1.288226132e-02
     4.3233895   1.290724440e-02
     4.3215212   1.293049826e-02
     4.3196544   1.292696068e-02
     4.3177893   1.288794026e-02
     4.3159258   1.290054043e-02
     4.3140638   1.293278224e-02
     4.3122035   1.288445107e-02
     4.3103448   1.288146607e-02
     4.3084877   1.288931269e-02
     4.3066322   1.283713531e-02
     4.3047783   1.288431021e-02
     4.3029260   1.291162360e-02
     4.3010753   1.287180325e-02
     4.2992261   1.293964004e-02
     4.2973786   1.286274371e-02
     4.2955326   1.290500657e-02
     4.2936883   1.287688995e-02
     4.2918455   1.290532774e-02
     4.2900043   1.289986115e-02
     4.2881647   1.293191568e-02
     4.2863266   1.293734821e-02
     4.2844901   1.284072616e-02
     4.2826552   1.293181665e-02
     4.2808219   1.288560992e-02
     4.2789902   1.288064635e-02
     4.2771600   1.289357754e-02
     4.2753313   1.288203365e-02
     4.2735043   1.288690795e-02
     4.2716788   1.285836189e-02
     4.2698548   1.286650509e-02
     4.2680324   1.285097893e-02
     4.2662116   1.291629478e-02
     4.2643923   1.293771895e-02
     4.2625746   1.287137689e-02
     4.2607584   1.287566584e-02
     4.2589438   1.284160897e-02
     4.2571307   1.293938215e-02
     4.2553191   1.284032324e-02
     4.2535091   1.293614569e-02
     4.2517007   1.292332943e-02
     4.2498938   1.286077152e-02
     4.2480884   1.285776249e-02
     4.2462845   1.287630409e-02
     4.2444822   1.287742916e-02
     4.2426814   1.292083800e-02
     4.2408821   1.287879134e-02
     4.2390844   1.293964004e-02
     4.2372881   1.284516752e-02
     4.2354934   1.282403247e-02
     4.2337003   1.282867210e-02
     4.2319086   1.286439633e-02
     4.2301184   1.286582926e-02
     4.2283298   1.283175339e-02
     4.2265427   1.283401294e-02
     4.2247571   1.285304001e-02
     4.2229730   1.286215383e-02
     4.2211904   1.289115668e-02
     4.2194093   1.283159908e-02
     4.2176297   1.292518107e-02
     4.2158516   1.285051330e-02
     4.2140750   1.282740136e-02
     4.2122999   1.289450724e-02
     4.2105263   1.285927801e-02
     4.2087542   1.288604011e-02
     4.2069836   1.293746737e-02
     4.2052145   1.283597976e-02
     4.2034468   1.288455676e-02
     4.2016807   1.282608174e-02
     4.1999160   1.282055203e-02
     4.1981528   1.283780970e-02
     4.1963911   1.287920087e-02
     4.1946309   1.285644033e-02
     4.1928721   1.293935971e-02
     4.1911148   1.284043553e-02
     4.1893590   1.286757109e-02
     4.1876047   1.289860765e-02
     4.1858518   1.288264207e-02
     4.1841004   1.286084918e-02
     4.1823505   1.286198034e-02
     4.1806020   1.288331048e-02
     4.1788550   1.281081467e-02
     4.1771094   1.282310947e-02
     4.1753653   1.284121860e-02
     4.1736227   1.283103615e-02
     4.1718815   1.288364094e-02
     4.1701418   1.285962181e-02
     4.1684035   1.286804610e-02
     4.1666667   1.285488757e-02
     4.1649313   1.284719957e-02
     4.1631973   1.281211906e-02
     4.1614648   1.284211615e-02
     4.1597338   1.288326363e-02
     4.1580042   1.290653278e-02
     4.1562760   1.283459176e-02
     4.1545492   1.290084617e-02
     4.1528239   1.291806417e-02
     4.1511000   1.290452144e-02
     4.1493776   1.284897926e-02
     4.1476566   1.291168027e-02
     4.1459370   1.283032660e-02
     4.1442188   1.283119665e-02
     4.1425021   1.285314707e-02
     4.1407867   1.286251134e-02
     4.1390728   1.284466028e-02
     4.1373604   1.282457444e-02
     4.1356493   1.287895649e-02
     4.1339396   1.289420130e-02
     4.1322314   1.282276230e-02
     4.1305246   1.292463159e-02
     4.1288192   1.288889765e-02
     4.1271151   1.284886242e-02
     4.1254125   1.285550941e-02
     4.1237113   1.283791448e-02
     4.1220115   1.286835984e-02
     4.1203131   1.286348876e-02
     4.1186161   1.284795853e-02
     4.1169205   1.285290489e-02
     4.1152263   1.285561798e-02
